"""Remember Me"" Default Value","Recordarme Valor predeterminado"
"(Not %s?)","(No %s?)"
"* Required Fields","* Campos requeridos"
"Address","Dirección"
"Address Information","Datos del Domicilio"
"Already registered?","¿Ya estás registrado?"
"Back","Volver"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, podrá avanzar más rápidamente en el proceso de compra, almacenar múltiples direcciones de envío, ver y rastrear sus pedidos en su cuenta y más."
"Cannot load configuration from file %s.","No se puede cargar la configuración desde el archivo %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Comprobando &quot; Recordarme &quot; le permitirá acceder a su carrito de compras en esta computadora cuando se cierre la sesión"
"Checkout as Guest","Realizar pedido como invitado"
"Checkout as a Guest","Finalizar la compra como invitado"
"Checkout as a Guest or Register","Pagar como invitado o registrarse"
"City","Ciudad"
"Clear Persistence on Log Out","Eliminar persistencia al cerrar sesión"
"Close","Cerrar"
"Company","Empresa"
"Confirm Password","Confirmar contraseña"
"Continue","Continuar"
"Country","País"
"Create an Account","Crea una cuenta"
"Easy access to your order history and status","Acceso rápido a su historial de pedidos y estado"
"Email Address","Dirección de correo electrónico"
"Enable ""Remember Me"""",""Habilita ""Recordarme"""
"Enable Persistence","Habilitar persistencia"
"Fast and easy check out","Check out rápido y fácil"
"Faster checkout","Check out rápido"
"Fax","Fax"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Forgot your password?","¿Olvidaste tu contraseña?"
"General Options","Opciones generales"
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor inicie sesión."
"Loading next step...","Cargando el siguiente paso ..."
"Login","Iniciar sesión"
"Login Information","Cargar Información"
"Login or Create an Account","Ingresar o Crear una cuenta"
"New Customers","Clientes Nuevos"
"New Here?","¿Nuevo aquí?"
"Password","Contraseña"
"Persist Shopping Cart","Persistir Carrito de compras"
"Persistence Lifetime (seconds)","Persistencia de por vida (segundos)"
"Persistent Shopping Cart","Carrito de compras persistente"
"Personal Information","Informacion personal"
"Please enter the following information to create your account.","Por favor ingrese la siguiente información para crear su cuenta."
"Please log in below:","Por favor inicie sesión a continuación:"
"Please select region, state or province","Seleccione región, estado o provincia"
"Register","Registro"
"Register and Checkout","Registro y Checkout"
"Register and save time!","¡Regístrese y ahorre tiempo!"
"Register to Create an Account","Regístrese para crear una cuenta"
"Register with us for future convenience:","Regístrese con nosotros para una futura conveniencia:"
"Registered Customers","Clientes Registrados"
"Registration is free and easy!","El registro es gratis y fácil!"
"Remember Me","Recuérdame"
"Returning Customers","Clientes recurrentes"
"Save in address book","Guardar en libreta de direcciones"
"Save multiple shipping addresses","Guardar múltiples direcciones de envío"
"Select State/Province...","Seleccione Estado / Provincia ..."
"Select a billing address from your address book or enter a new address.","Seleccione una dirección de facturación de su libreta de direcciones o ingrese una nueva dirección."
"Ship to different address","Enviar a una dirección diferente"
"Ship to this address","Enviar a esta dirección"
"Shopping cart has been updated with appropriate prices","El carrito de compras se ha actualizado con los precios adecuados"
"Sign Up for Newsletter","Suscríbete al boletín"
"Sign in to speed up your checkout process","Inicie sesión para acelerar su proceso de pago"
"State/Province","Estado / Provincia"
"Street Address","Dirección"
"Street Address %s","Dirección de calle %s"
"Submit","Enviar"
"Telephone","Teléfono"
"To proceed to Checkout, please log in using your email address.","Para proceder a pagar, inicie sesión usando su dirección de correo electrónico."
"VAT Number","Número de valor agregado"
"View and track orders and more","Ver y rastrear pedidos y más"
"Welcome, %s!","Bienvenido, %s!"
"What's this?","¿Qué es esto?"
"What\'s this?","¿Qué es esto?"
"Zip/Postal Code","Código postal / Número"
